sentenca,categoria_maritaka
(Tradução do Google) As crianças adquirem o deuce especial enquanto minha esposa adquire uma omelete branca uma veggies e meu ordenou meu ego um hambúrguer mesquite tudo estava delicioso e preços não eram caros  (Original) Kids get the deuce especial while my wife gets a omelette white an veggies and my ordered my self a mesquite hamburger everything was delicious and prices were not expensive,
Um casarão antigo deu lugar a um restaurante de ambiente acolhedor e cardápio magnífico!!,
"O restaurante tem vista do belo Teatro Amazonas, a infraestrutura é muito boa, com arquitetura bonita.",
Mas vale a visita para conhecer .,
Taco maravilhoso.,
"E ainda tem uma brinquedoteca espetacular, por isso as crianças adoram ir lá.",
Fui comemorar uma data especial.,
"O salão é amplo, bonito e é ótimo p/ grupos grandes.",
Estive na cachaçaria para happy hour promovido por um amigo de S. Paulo quando estive em Manaus a trabalho.,
Materia prima de primeira qualidade.,
a entrda ade linguicas tmbm muito gostosa e a porçao do peixe muito bem servida.o atendimento foi meio desatento  mas local...Mais,
"Provamos a formiga de entrada , bem diferente mas não comeria novamente.",
"Peoxe assado delicioso, Tem  estacionamento ... É um lugar agradável e familiar .",
"Corresponde à habitual qualidade da comida, num ambiente agradável com música ao vivo e num volume adequado.",
"Comida cara e ruim, serviu coxão duro como picanha, insatisfação total.",
"Comida muito boa, ambiente rústico e muito agradável, ótima pedida pra happy hour, às vezes deixa a desejar no atendimento.",
O garçom Celso foi muito atencioso e é um excelente fotógrafo!,
Estacionamento fácil na rua em frente pelo menos de noite.,
"Não gostei do lugar atendimento muito demorado , som alto demais não dar conversar , o rapaz que fica na entra e na saída super mal educado, e outra muito caro as coisas por lá",
"Com uma boa estrutura e excelentes pistas para jogar, conta também com sinuca, vídeo game e outros jogos.",
Philippe  muito atencioso  e educado,
"Topper Ambiente agradável, musica boa.",
"O estabelecimento impressiona na variedade de produtos do empório... A história da cachaçaria já é motivo de brindar uma boa cachaça, pratos elaborados com muito requinte e sabor.",
Uma das melhores hamburguerias de Manaus.,
Ótimo trabalho,
"Gostamos muito do ambiente e pela quantidade de pessoas a servir, a comida veio rápido, muito saborosa e o atendimento do garçom Osmar foi excelente, tentarei nas próximas idas ao local, ficar nas mesas servidas por ele.",
"Não deixe de provar o hambúrguer de tambaqui, o buruti real e os milk shakes.",
"Comida deliciosa e ótimo atendimento do Edson Jr. Restaurante detentor de notas únicas e individualidade fenomenal, seja em gastronomia da terra quanto do mar.",
Muito bom dia de sexta feira música ao vivo,
Asinhas deliciosas!!!,
"O serviço é de alta qualidade, os petiscos atendem a todos os gostos e o som ambiente proporciona encontros agradáveis.",
"Excelente experiência no Restaurante Coco Bambu Manaus, comida excelente, garçon Venicius muito prestativo, e som ao vivo de muita qualidade.",
"Atendimento excelente e uma ótima casa para se divertir entre amigos, e  claro, fazer novas amizades!",
Cerveja gelada (não tão em conta) e músicos bons que sempre estão tocando por lá.,
"Ela está presente em dezenas de pratos doces e salgados, do café da manhã ao jantar, e no Banzeiro a fruta aparece em forma de um delicado creme, maçaricado ao estilo brullè e pode ser acompanhado com sorvete de cumaru, a baunilha amazônica.",
O lugar é ótimo para quem quer apreciar a natureza tomar um bom banho de rio e curtir o por do sol que o lugar proporciona.,
Estacionamento  com manobrista.,
Ao lado do teatro amazonas que emoldura produtos de qualidade e bom preparo.,
"Contudo, tem várias opções saborosas e bom custo-benefício para rodízio ?",
"A carta de vinhos é uma enganação, nunca tem o que você escolhe, só o mais caro.",
"Pedi calderado de tambaqui,  chego no caldo muito fino, e nao muito para 2  pessoas, o piráo era farinha mohlado, parece nao eera feito com na caldo, horrivel, o vinegreite parece uma salada de tomate, ceballa, pedaacoes grandes sim sabor, lencoies de papel pequeno,  Servicio...Mais",
Ademais uns tira-gostos maravilhosos.,
"Tem uma cachaça de uva, maravilhosa !",
As mesas ficam distribuídas em quartos.,
Mammamia é uma casa de rodízio ótima me senti muito bem ainda mais com a recepcionista maravilhosa Nathalia que vocês têm muito simpática educada uma pessoa muito receptiva .,
"Excelente atendimento, culinária impecável, ambiente bonito, apesar de não ser climatizado o clima ambiente é agradável, quanto aos preços.., estão na média das peixarias de Manaus, com exceção das sobremesas que está fora da realidade, uma fatia de pudim a R$ 15 reais acho muito caro, sem contar que são poucas opções de sobremesa, um outro ponto que tenho que parabenizar é o fato de disponibilizarem um lugar agradável para aguardar enquanto não dispõem de mesas desocupadas, muito bem organizado",
"A qualidade já reconhecida dos cafés da unique, preparados por um bom Batista, aumentam a percepção sensorial.",
"Excelente restaurante, variedade, sabor típico regional com toques internacionais.",
Atendimento ´rápido e preciso Boa refrigeração.,
A partir de indicação daqui decidimos por um restô Português e não poderia ser melhor .,
"Tem um senhor, sempre de preto, um japonês, que trabalha lá, um senhor muito educado,",
"Atedimento excelente, em especial gaçom senna, mostrou pra mim que valeu cada minuto nesse restaurante, vcs que querem um bom atedimento proucure o garçom senna no Coco Bambu nota 1000 voltarei com toda certeza.",
Excelente atendimento  Eu e minha família fomos muito bem atendidos Parabéns a recepção Tive um ótimo atendimento pelo Garson Bruno Comida maravilhosa e ainda tivemos uma mesa ótima escolhida pela recepcionista joici que também está de parabéns Obrigado coco bambu...,
Muito agradável com um dos melhores rodízios de sopas de Manaus,
Lugar agradável porém difícil arrumar um estacionamento no horário do almoço nos dias úteis aceitam o ticket alimentação,
"Ambiente familiar, porém restaurante não oferece muitas opções no cardápio, preço um pouco caro, estacionamento bacana",
Este é um ótimo começo para uma noite épica em Manaus.,
Recomendo nos dias menos movimentados.,
"Rever os amigos que moram fora da cidade, tivemos uma ótima experiência , excelente atendimento pelo Rodrigo Uchôa.",
"As pizzas do rodízio tem sabores sensacionais mas as fatias deixam a desejar pois em relação a outras pizzarias, as fatias das pizzas são minúsculas apesar do preço ser bem mais caro.",
"Refeição excelente e saborosa, cardápio variado, atendimento impecável, estacionamento amplo.",
"É preciso prestar atenção nos preços, por que tem pratos que são um absurdo.",
"O ambiente é um casarão antigo do ciclo da borracha, com a vista pro poético Teatro Amazonas.",
"Boa opção para momentos informais, em família ou com amigos.",
"Meus 2 filhos pequenos,  meu marido e eu fomos, no domingo de Páscoa, almoçar,  pois queríamos degustar delícias amazônicas.",
"A carne de sol, sem gosto e as postas finas demais; maionese horrível, baião sem tempero.",
"Lá você degusta os principais peixes regionais como tambaqui ou o pirarucu, mas com uma grande diferença das outras peixarias tradicionais, a apresentação, os temperos utilizados, deixando...Mais",
"O meu preferido é o bowl tirashi salmão, muito bem servido e é uma delícia.",
O melhor kikao de Manaus,
"Como sempre, fui muito bem atendido na Búfalo, mesmo atualmente que estão com promoção de 2ª a 6ª, o padrão da comida e atendimento continuam os mesmos Acho que poderia ter mais opção na tábua de frios para do salad bar, mas isso seria só...Mais",
"Recomendo está Churrascaria, atendimento com excelência, aparador completo e variado, churrasco de alto nível com carnes nobres e complementos deliciosos.",
"de época, uma vez que é regado com temáticas sazonais com apresentações musicais, aí quando você  pensa que acabou vem um som ao vivo com excelente repertório musical.",
Estar em Manaus e não desfrutar dos sabores do Alentejo é quase uma heresia!!!,
"varias opções de churrascos, comida boa, ambiente agradável e familiar, tem área para criança (pequena, mais tem)",
O atendimento do Stivem e do Robson fez total diferença na nossa noite!!!,
Tem um estacionamento próprio.,
Loval familiar e muito agradável,
"Amo comida mexicana, e a de vocês estava saborosíssima, o guacamole maravilhoso... Parabéns ?",
"Chegando já deparei com um estacionamento amplo, o ambiente é bastante regional caboclo, com mesas e cadeiras de madeira, super decorado com imagens de animais silvestres, o cardápio e bastante variado, local limpo e bastante ventilado, vale a Pena ir com a família e amigos.",
"Café da manhã excepcional, muito bom, todos os itens como preço justo",
Para os ribeirinhos amazônicos ‘banzeiro’ é a agitação das águas feita pelos ventos.,
"Playlist sensacional, ambiente agradável e atendimento excelente.",
"Instalações de bom gosto, estacionamento exclusivo com opção de manobrista, excelente localização - bairro comercial nobre - estrutura de atendimento bem organizada, pessoal jovem e competente, inclusive o chef, culinária bem elaborada e prática, mesclando culinária italiana e francesa - peixes, inclusive regional nobre (filé...Mais",
"Ótimo lugar para um café e conversa casual, ambiente extremamente confortável e atendimento não deixa a desejar.",
Comida sem grande expressividade.,
"Local agradável, com bom receptividade e preço acessível ?eu e minha família não temos do que nos queixa",
Muito boa ketherin,
"Toda visita que faço ao Banzeiro parece ser a primeira, sempre me surpreendo comi os sabores e execução perfeita dos pratos.",
Pessimo .barrulho de adolecentes sem respeito nenhum com outros clienres,
"Peixe sem suculência e seco, baião com arroz de qualidade ruim, arroz branco ruim, enfim, era segunda feira e não sei o que houve com a cozinha.",
"Pizza de ótima, atendende excelente Rosalinda",
"Comida excelente, porém o atendimento pós covid me surpreendeu ( não sei se era garcon novato) enfim não tive uma boa experiência, não me senti tendo o padrão de atendimento pelo qual paguei.",
"Apesar de no dia atenderem apenas através de reservas, ficaram sensibilizados com a forma que fomos tratados numa data tão importante e acabaram nos aceitando.",
Carne de sol a melhor the best,
"Sardinha fresca , delícia",
"Tudo gostoso, muito rápido, estacionamento amplo, ótimo atendimento de todos os funcionários, principalmente do garçom Nayron e do Chef Raimundo, sempre perguntando se estava tudo certo",
"Eu sou frequentador constante do Abaré SUP, um lugar maravilhoso com uma comida divina.",
Bom apetite!,
"Em abril de 2017, após um cruzeiro inesquecível pela região de Anavilhanas com o IBEROSTAR Grand Amazon, escolhemos o bistrô Belle Époque, localizado no andar térreo do shopping Ponta Negra em Manaus, para encerrar nossa estadia gastronômica no Amazonas.",
Topzao super legal só acho que deveria baixar o preço do frango assado e do peixe assado afinal nem estamos tão longe de Manaus ?????????,
"O Coco Bambu Manaus, está dentro dos padrões de qualidade da rede, sou um frequentador em Fortaleza e a unidade de Manaus está perfeita, com um cardápio de 1a qualidade e vasta variedade de pratos; Além de que, o requinte e sofisticação na elaboração de...Mais",
"Quanto aos preços, são exagerados pela quantidade , acho que poderia ser um pouco menor.",
"Atendimento excelente  Garçons Rafael e Senna muito atenciosos, atendimento nota 1000...",
Carta de vinhos de primeira linha.,
Atendimento do garçom Neto excelente.,
Para quem gosta da culinária portuguesa a visita eh obrigatória.,
"Há exatos 8 anos comecei a frequentar o restaurante e NUNCA fiquei a desejar com a comida e o serviço, pelo contrário, sempre tenho momentos maravilhosos lá!",
"Uma delícia, recomendo essa opção de prato, mas ela é mais para os amantes de queijo.",
"Todas vezes tive problemas com nota fiscal, como o trabalho reembolsa preciso dela.",
